Year,Movie,Song,GEM!,Singer(s),Music Director(s),Lyrics
1949,Rimjhim,Jagmag jagmag karta nikla,,Kishore,Khemchand Prakash,Bharat Vyas
1954,Naukri,Chhota sa ghar hoga,,"Kishore, Usha Mangeshkar",Salil Chowdhury,Shailendra
1955,Baap Re Baap,Piya piya piya mora jiya pukaare,,"Kishore, Asha",O P Nayyar,Jan Nisar Akhtar
1955,Munimji,Jeevan ke safar mein rahi,Picture,Kishore,S D Burman,Sahir Ludhianvi
1956,Funtoosh,Ae meri topi palat ke aa,,Kishore,S D Burman,Sahir Ludhianvi
1956,Funtoosh,Dukhi man mere,,Kishore,S D Burman,Sahir Ludhianvi
1956,Mem Sahib,Dil dil se mila kar dekho,,Kishore,Madan Mohan,Rajendra Krishan
1956,Naya Andaz,Meri neendon mein tum,,"Kishore, Shamshad Begum",O P Nayyar,Jan Nisar Akhtar
1956,New Delhi,Nakhrewaali nakhrewaali,Picture,Kishore,Shankar Jaikishen,Shailendra
1957,Aasha,Eena meena deeka,,Kishore,C Ramchandra,Rajendra Krishan
1957,Nau Do Gyarah,Aankhon mein kya ji,,"Kishore, Asha",S D Burman,Majrooh Sultanpuri
1957,Nau Do Gyarah,Hum hain raahi pyaar ke,Picture,Kishore,S D Burman,Majrooh Sultanpuri
1957,Paying Guest,Chhod do aanchal,,"Kishore, Asha",S D Burman,Majrooh Sultanpuri
1957,Paying Guest,Haaye haaye haaye yeh nigaahen,,"Kishore, Asha",S D Burman,Majrooh Sultanpuri
1957,Paying Guest,Maana janaab ne pukaara nahin,Picture,Kishore,S D Burman,Majrooh Sultanpuri
1957,Paying Guest,O nigaahen mastaana,,"Kishore, Asha",S D Burman,Majrooh Sultanpuri
1958,Chalti Ka Naam Gaadi,Baabu samjho ishaare,,"Kishore, Ashok Kumar, Manna Dey",S D Burman,Majrooh Sultanpuri
1958,Chalti Ka Naam Gaadi,Ek ladki bheegi bhaagi si,Picture,Kishore,S D Burman,Majrooh Sultanpuri
1958,Chalti Ka Naam Gaadi,Haal kaisa hai janaab ka,,"Kishore, Asha",S D Burman,Majrooh Sultanpuri
1958,Chalti Ka Naam Gaadi,Hum the woh thi,,"Kishore, Anoop Kumar",S D Burman,Majrooh Sultanpuri
1958,Chalti Ka Naam Gaadi,Main sitaaron ka taraana,,"Kishore, Asha",S D Burman,Majrooh Sultanpuri
1958,Dilli Ka Thug,Hum to mohabbat karega,,Kishore,Ravi,Majrooh Sultanpuri
1958,Dilli Ka Thug,Yeh raaten yeh mausam,Picture,"Kishore, Asha",Ravi,Majrooh Sultanpuri
1959,Shararat,Hum matwaale naujawaan,Picture,Kishore,Shankar Jaikishen,Hasrat Jaipuri
1960,Girl Friend,Kashti ka khaamosh safar hai,,"Kishore, Sudha Malhotra",Hemant Kumar,Sahir Ludhianvi
1961,Jhumroo,Bhola bhaala man mera,,"Kishore, Asha",Kishore Kumar,Majrooh Sultanpuri
1961,Jhumroo,Koi humdum na raha,Picture,Kishore,Kishore Kumar,Majrooh Sultanpuri
1961,Jhumroo,Main hoon jhum jhum jhum jhum jhumroo,,Kishore,Kishore Kumar,Majrooh Sultanpuri
1961,Jhumroo,Matwaale hum matwaale tum,,Kishore,Kishore Kumar,Majrooh Sultanpuri
1961,Jhumroo,Thhandi hawa yeh chaandni suhaani,Picture,Kishore,Kishore Kumar,Majrooh Sultanpuri
1962,Bombay Ka Chor,Hasrat hi rahi hum se bhi kabhi,,Kishore,Ravi,Rajendra Krishan
1962,Manmauji,Zaroorat hai zaroorat hai,,Kishore,Madan Mohan,Rajendra Krishan
1962,Rangoli,Chhoti si yeh duniya (M),,Kishore,Shankar Jaikishen,Shailendra
1962,Rangoli,Rangoli sajaao re,,Kishore,Shankar Jaikishen,Hasrat Jaipuri
1963,Ek Raaz,Agar sun le to ek nagma,,Kishore,Chitragupt,Majrooh Sultanpuri
1963,Ek Raaz,Payal waali dekhna,,Kishore,Chitragupt,Majrooh Sultanpuri
